DayOfWeek,Mean,Store
1,9.692791275067025,1
2,9.692791275067025,1
3,9.77832942330783,1
4,9.335183341526609,1
5,9.692791275067025,1
6,9.692791275067025,1
1,9.692791275067025,2
2,9.692791275067025,2
3,9.77832942330783,2
4,9.335183341526609,2
5,9.692791275067025,2
6,9.692791275067025,2
1,9.692791275067025,3
2,9.692791275067025,3
3,9.77832942330783,3
4,9.335183341526609,3
5,9.692791275067025,3
6,9.692791275067025,3
1,9.692791275067025,4
2,9.692791275067025,4
3,9.77832942330783,4
4,9.335183341526609,4
5,9.692791275067025,4
6,9.692791275067025,4
1,9.692791275067025,5
2,9.692791275067025,5
3,9.77832942330783,5
4,9.335183341526609,5
5,9.692791275067025,5
6,9.692791275067025,5
1,9.692791275067025,6
2,9.692791275067025,6
3,9.77832942330783,6
4,9.335183341526609,6
5,9.692791275067025,6
6,9.692791275067025,6
1,9.692791275067025,7
2,9.692791275067025,7
3,9.77832942330783,7
4,9.335183341526609,7
5,9.692791275067025,7
6,9.692791275067025,7
1,9.692791275067025,8
2,9.692791275067025,8
3,9.77832942330783,8
4,9.335183341526609,8
5,9.692791275067025,8
6,9.692791275067025,8
1,9.692791275067025,9
2,9.692791275067025,9
3,9.77832942330783,9
4,9.335183341526609,9
5,9.692791275067025,9
6,9.692791275067025,9
1,9.692791275067025,10
2,9.692791275067025,10
3,9.77832942330783,10
4,9.335183341526609,10
5,9.692791275067025,10
6,9.692791275067025,10
1,9.692791275067025,11
2,9.692791275067025,11
3,9.77832942330783,11
4,9.335183341526609,11
5,9.692791275067025,11
6,9.692791275067025,11
1,9.692791275067025,12
2,9.692791275067025,12
3,9.77832942330783,12
4,9.335183341526609,12
5,9.692791275067025,12
6,9.692791275067025,12
1,9.221540677622308,13
2,9.57745456362713,13
3,9.221540677622308,13
4,9.221540677622308,13
5,9.205433514545172,13
6,9.221540677622308,13
1,9.692791275067025,14
2,9.692791275067025,14
3,9.77832942330783,14
4,9.335183341526609,14
5,9.692791275067025,14
6,9.692791275067025,14
1,9.692791275067025,15
2,9.692791275067025,15
3,9.77832942330783,15
4,9.335183341526609,15
5,9.692791275067025,15
6,9.692791275067025,15
1,9.692791275067025,16
2,9.335183341526609,16
3,9.77832942330783,16
4,9.335183341526609,16
5,9.692791275067025,16
6,9.692791275067025,16
1,9.692791275067025,17
2,9.692791275067025,17
3,9.77832942330783,17
4,9.335183341526609,17
5,9.692791275067025,17
6,9.692791275067025,17
1,9.692791275067025,18
2,9.692791275067025,18
3,9.77832942330783,18
4,9.335183341526609,18
5,9.692791275067025,18
6,9.692791275067025,18
1,9.692791275067025,19
2,9.692791275067025,19
3,9.77832942330783,19
4,9.335183341526609,19
5,9.692791275067025,19
6,9.692791275067025,19
1,9.221540677622308,20
2,9.57745456362713,20
3,9.221540677622308,20
4,9.221540677622308,20
5,9.205433514545172,20
6,9.221540677622308,20
1,9.692791275067025,21
2,9.335183341526609,21
3,9.77832942330783,21
4,9.335183341526609,21
5,9.692791275067025,21
6,9.692791275067025,21
1,9.221540677622308,22
2,9.57745456362713,22
3,9.221540677622308,22
4,9.221540677622308,22
5,9.205433514545172,22
6,9.221540677622308,22
1,9.692791275067025,23
2,9.692791275067025,23
3,9.77832942330783,23
4,9.335183341526609,23
5,9.692791275067025,23
6,9.692791275067025,23
1,9.692791275067025,24
2,9.692791275067025,24
3,9.77832942330783,24
4,9.335183341526609,24
5,9.692791275067025,24
6,9.692791275067025,24
1,9.692791275067025,25
2,9.692791275067025,25
3,9.77832942330783,25
4,9.335183341526609,25
5,9.692791275067025,25
6,9.692791275067025,25
1,9.692791275067025,26
2,9.692791275067025,26
3,9.77832942330783,26
4,9.335183341526609,26
5,9.692791275067025,26
6,9.692791275067025,26
1,9.692791275067025,27
2,9.692791275067025,27
3,9.77832942330783,27
4,9.335183341526609,27
5,9.692791275067025,27
6,9.692791275067025,27
1,9.692791275067025,28
2,9.335183341526609,28
3,9.77832942330783,28
4,9.335183341526609,28
5,9.692791275067025,28
6,9.692791275067025,28
1,9.692791275067025,29
2,9.692791275067025,29
3,9.77832942330783,29
4,9.335183341526609,29
5,9.692791275067025,29
6,9.692791275067025,29
1,9.692791275067025,30
2,9.692791275067025,30
3,9.77832942330783,30
4,9.335183341526609,30
5,9.692791275067025,30
6,9.692791275067025,30
1,9.692791275067025,31
2,9.692791275067025,31
3,9.77832942330783,31
4,9.335183341526609,31
5,9.692791275067025,31
6,9.692791275067025,31
1,9.221540677622308,32
2,9.57745456362713,32
3,9.221540677622308,32
4,9.221540677622308,32
5,9.205433514545172,32
6,9.221540677622308,32
1,9.692791275067025,33
2,9.692791275067025,33
3,9.77832942330783,33
4,9.335183341526609,33
5,9.692791275067025,33
6,9.692791275067025,33
1,9.692791275067025,34
2,9.692791275067025,34
3,9.77832942330783,34
4,9.335183341526609,34
5,9.692791275067025,34
6,9.692791275067025,34
1,9.692791275067025,35
2,9.692791275067025,35
3,9.77832942330783,35
4,9.335183341526609,35
5,9.692791275067025,35
6,9.692791275067025,35
1,9.221540677622308,36
2,9.57745456362713,36
3,9.221540677622308,36
4,9.221540677622308,36
5,9.205433514545172,36
6,9.221540677622308,36
1,9.692791275067025,37
2,9.335183341526609,37
3,9.77832942330783,37
4,9.335183341526609,37
5,9.692791275067025,37
6,9.692791275067025,37
1,9.692791275067025,38
2,9.692791275067025,38
3,9.77832942330783,38
4,9.335183341526609,38
5,9.692791275067025,38
6,9.692791275067025,38
1,9.692791275067025,39
2,9.692791275067025,39
3,9.77832942330783,39
4,9.335183341526609,39
5,9.692791275067025,39
6,9.692791275067025,39
1,9.692791275067025,40
2,9.692791275067025,40
3,9.77832942330783,40
4,9.335183341526609,40
5,9.692791275067025,40
6,9.692791275067025,40
1,9.221540677622308,41
2,9.57745456362713,41
3,9.221540677622308,41
4,9.221540677622308,41
5,9.205433514545172,41
6,9.221540677622308,41
1,9.692791275067025,42
2,9.692791275067025,42
3,9.77832942330783,42
4,9.335183341526609,42
5,9.692791275067025,42
6,9.692791275067025,42
1,9.692791275067025,43
2,9.692791275067025,43
3,9.77832942330783,43
4,9.335183341526609,43
5,9.692791275067025,43
6,9.692791275067025,43
1,9.692791275067025,44
2,9.692791275067025,44
3,9.77832942330783,44
4,9.335183341526609,44
5,9.692791275067025,44
6,9.692791275067025,44
1,9.692791275067025,45
2,9.692791275067025,45
3,9.77832942330783,45
4,9.335183341526609,45
5,9.692791275067025,45
6,9.692791275067025,45
1,9.221540677622308,46
2,9.57745456362713,46
3,9.221540677622308,46
4,9.221540677622308,46
5,9.205433514545172,46
6,9.221540677622308,46
1,9.692791275067025,47
2,9.692791275067025,47
3,9.77832942330783,47
4,9.335183341526609,47
5,9.692791275067025,47
6,9.692791275067025,47
1,9.692791275067025,48
2,9.692791275067025,48
3,9.77832942330783,48
4,9.335183341526609,48
5,9.692791275067025,48
6,9.692791275067025,48
1,9.692791275067025,49
2,9.335183341526609,49
3,9.77832942330783,49
4,9.335183341526609,49
5,9.692791275067025,49
6,9.692791275067025,49
1,9.692791275067025,50
2,9.692791275067025,50
3,9.77832942330783,50
4,9.335183341526609,50
5,9.692791275067025,50
6,9.692791275067025,50
1,9.221540677622308,51
2,9.57745456362713,51
3,9.221540677622308,51
4,9.221540677622308,51
5,9.205433514545172,51
6,9.221540677622308,51
1,9.221540677622308,52
2,9.57745456362713,52
3,9.221540677622308,52
4,9.221540677622308,52
5,9.205433514545172,52
6,9.221540677622308,52
1,9.692791275067025,53
2,9.692791275067025,53
3,9.77832942330783,53
4,9.335183341526609,53
5,9.692791275067025,53
6,9.692791275067025,53
1,9.692791275067025,54
2,9.335183341526609,54
3,9.77832942330783,54
4,9.335183341526609,54
5,9.692791275067025,54
6,9.692791275067025,54
1,9.692791275067025,55
2,9.692791275067025,55
3,9.77832942330783,55
4,9.335183341526609,55
5,9.692791275067025,55
6,9.692791275067025,55
1,9.692791275067025,56
2,9.692791275067025,56
3,9.77832942330783,56
4,9.335183341526609,56
